nome, tempo, custo
att48,0.315,10628.0
bayg29,0.035,1610.0
bays29,0.039,2020.0
berlin52,0.15,7542.0
brazil58,0.176,25395.0
burma14,0.013,3323.0
dantzig42,0.082,699.0
eil101,1.112,629.0
eil51,0.164,426.0
eil76,0.486,538.0
fri26,0.032,937.0
gr120,1.923,6942.0
gr17,0.017,2085.0
gr21,0.019,2707.0
gr24,0.028,1272.0
gr48,0.136,5046.0
gr96,0.838,55209.0
hk48,0.135,11461.0
kroA100,0.821,21282.0
kroB100,0.867,22141.0
kroC100,0.854,20749.0
kroD100,0.932,21294.0
kroE100,0.946,22068.0
lin105,0.992,14379.0
pr107,1.067,44303.0
pr124,1.359,59030.0
pr152,2.547,73682.0
pr76,0.412,108159.0
rat99,0.996,1211.0
rd100,0.974,7910.0
st70,0.324,675.0
swiss42,0.074,1273.0
ulysses16,0.016,6859.0
ulysses22,0.022,7013.0
